REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,MOLEFT,YRLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,WORK,OCUP,NOMONTH,RET,MORET,YRRET,MOEXP,YREXP,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
1,55,1,1363,3,1,25,2,4,95,1,4,859,1,89,12,1,859,18,2,,,4,1997,1,23000,4,,2,,327.9404
1,55,1,1363,3,1,26,2,2,96,2,6,982,1,35,24,1,982,31,2,,,2,1998,1,60000,4,,2,,327.9404
1,55,1,1370,3,1,25,1,11,95,1,6,133,1,89,24,1,759,11,2,,,1,1997,1,60000,1,,2,,327.9411
1,55,1,1372,3,1,36,4,4,94,2,5,552,1,81,24,1,552,50,2,,,3,1997,1,9000,4,,2,,327.9411
1,55,1,1372,4,2,30,2,4,94,2,4,541,1,81,24,1,541,34,2,,,3,1997,2,,,,2,,327.9411
1,55,1,1375,4,1,24,3,4,95,2,6,22,1,81,12,1,22,45,2,,,12,1996,1,14000,1,,2,,327.9411
1,55,1,1376,2,1,40,3,4,96,2,5,381,1,81,12,1,381,50,1,5,96,,,2,,,,1,5984,327.9411
1,55,1,1377,2,2,42,2,3,94,2,4,541,1,39,24,1,541,53,2,,,12,1996,1,32000,1,,2,,327.9411
1,55,1,1133,1,1,43,1,10,92,2,5,X20,1,81,24,1,432,24,1,12,94,,,2,,,,2,,327.9408
1,55,1,1135,2,1,39,1,3,93,2,3,871,1,10,72,1,871,41,2,,,4,1997,1,24000,5,,2,,327.9408
1,55,1,1177,2,1,36,1,6,92,2,6,135,4,52,88,1,999,53,2,,,99,1999,1,10000,4,,1,13000,327.9409
1,55,1,1184,2,1,32,1,4,96,2,6,979,1,78,24,1,979,6,2,,,4,1998,1,30000,4,,2,,327.9409
1,55,2,1706,2,1,32,2,4,95,2,4,611,1,81,24,1,999,48,2,,,5,1997,1,17500,1,,2,,1009.5858
1,55,2,1714,3,2,41,1,1,96,4,4,Z20,1,39,24,1,541,9,2,,,1,1998,1,12500,1,,2,,1009.5858
1,55,1,1253,2,1,39,3,3,96,2,4,981,1,82,12,1,981,27,2,,,88,8888,1,18000,1,,1,44500,327.9404
1,55,1,1381,2,1,36,1,10,95,2,5,982,1,83,24,1,982,12,2,,,10,1997,1,17500,1,,2,,327.9402
1,55,1,1382,2,1,47,5,4,96,2,4,859,1,81,12,1,859,56,2,,,3,1997,1,45000,1,,2,,327.9402
1,55,1,1385,2,2,31,1,2,96,2,3,541,1,82,24,1,541,9,2,,,1,1998,1,3000,4,,2,,327.9402
1,55,1,1386,2,1,61,3,10,94,2,4,871,1,81,24,1,871,60,2,,,11,1996,1,18000,4,,2,,327.9402
1,55,1,1444,2,1,43,2,1,94,2,6,322,1,81,24,1,322,41,2,,,3,1997,1,30000,1,,1,4500,327.9408
1,55,1,1450,3,2,21,1,9,93,1,4,Z30,1,39,24,1,541,33,1,8,96,,,1,38000,4,20000,1,3500,327.9408
1,55,1,1195,2,2,46,2,9,94,2,2,Z20,1,57,36,1,541,36,1,12,95,,,2,,,,2,,327.9412
1,55,1,1262,2,1,40,4,1,96,2,5,611,1,81,12,1,985,56,2,,,1,1997,1,30000,4,,2,,327.9411
1,55,1,1491,3,2,41,1,10,95,4,2,Z20,1,78,24,1,541,12,2,,,10,1997,1,30000,4,,2,,327.9395
1,55,1,1491,4,2,25,1,2,96,2,3,Z20,1,57,24,1,541,7,2,,,2,1998,1,9500,4,,2,,327.9395
1,55,1,1495,4,2,48,1,12,95,2,4,Z20,1,89,12,1,949,10,2,,,12,1996,1,26000,4,,2,,327.9395
1,55,2,1862,4,2,21,1,3,95,2,4,621,1,39,24,1,541,17,2,,,3,1997,1,45000,4,,2,,1009.5858
1,55,2,1863,3,2,22,1,8,95,1,2,541,1,75,24,1,541,14,1,8,96,,,1,10000,3,120000,1,2100,1009.5858
1,55,2,1868,3,2,28,3,12,95,1,6,111,1,39,24,1,541,36,2,,,12,1998,1,50000,1,,2,,1009.5858
1,55,2,1868,3,2,28,1,8,94,1,3,621,1,39,24,1,541,24,2,,,9,1997,1,48000,1,,2,,1009.5858
1,55,1,1550,4,1,30,4,3,96,2,4,855,3,99,24,1,855,36,2,,,12,1996,1,42500,4,,1,13200,327.9399
1,55,1,1558,2,1,30,1,5,96,2,4,859,1,81,12,1,951,5,2,,,6,1997,1,12000,4,,2,,327.9399
1,55,2,1729,3,2,23,1,8,96,1,4,541,1,51,24,1,541,1,2,,,99,1998,2,,,,2,,1009.5841
1,55,2,1730,2,2,40,2,1,96,2,4,Z20,1,39,24,1,541,29,2,,,12,1997,1,20000,1,,1,7500,1009.5841
1,55,2,1733,2,1,32,1,3,94,2,4,985,1,81,24,1,846,25,1,5,96,,,2,,,,1,64500,1009.5841
1,55,2,1734,2,2,38,2,12,95,2,6,541,1,39,24,1,541,24,2,,,10,1996,1,10000,1,,1,4000,1009.5841
1,55,1,1275,4,2,39,2,2,95,3,5,Z20,1,39,88,1,541,43,2,,,88,8888,1,31000,1,,1,6000,327.9405
1,55,2,1767,4,2,28,2,6,95,2,3,541,1,82,24,1,541,50,1,3,96,,,1,11000,1,,2,,1009.5844
1,55,2,1782,2,1,52,2,6,96,2,4,846,1,81,24,1,846,27,2,,,6,1998,1,5000,4,4000,1,11000,1009.5815
1,55,2,1782,3,1,24,1,6,96,1,4,846,1,81,24,1,846,3,2,,,6,1998,1,5000,4,,2,,1009.5815
1,55,2,1784,3,2,24,2,5,94,1,4,541,1,39,2,1,541,52,2,,,12,1996,1,18000,1,,2,,1009.5815
1,55,2,1786,2,2,40,2,7,94,2,5,541,1,39,24,1,541,50,2,,,12,1996,1,18000,4,,2,,1009.5815
1,55,2,1880,6,2,42,1,1,96,2,4,Z20,1,50,24,1,949,10,2,,,1,1998,1,10000,1,,2,,1009.5819
1,55,2,1880,6,1,42,1,1,96,2,4,611,1,50,24,1,949,10,2,,,1,1998,1,32000,1,,2,,1009.5819
1,55,2,1881,6,1,52,1,3,96,2,4,611,1,39,24,1,985,6,2,,,3,1998,1,25000,1,,2,,1009.5819
1,55,2,1881,6,2,49,1,1,96,2,4,Z20,1,39,24,1,541,9,2,,,1,1998,1,40000,1,,2,,1009.5819
1,55,1,1563,4,2,38,1,1,96,2,4,Z20,1,89,24,1,949,9,2,,,1,1998,1,20000,1,,2,,327.9386
1,55,1,1563,3,2,39,1,12,94,1,6,Z20,1,39,24,1,541,34,2,,,12,1996,1,27000,4,,2,,327.9386
1,55,1,1563,3,2,27,1,7,96,1,4,451,1,39,24,1,541,3,2,,,7,1998,1,19000,4,,2,,327.9386
1,55,1,1565,4,1,41,2,11,94,2,5,855,1,81,24,1,855,58,1,8,96,,,1,20000,2,50000,1,5000,327.9386
1,55,1,1565,3,2,43,1,1,96,1,4,Z20,1,39,24,1,541,9,2,,,1,1998,1,25000,1,,2,,327.9386
1,55,1,1568,3,2,23,2,12,92,1,5,Z30,1,39,24,1,541,46,1,7,95,,,1,39000,1,,2,,327.9386
1,55,2,1887,3,2,27,1,2,96,1,3,Z20,1,39,24,1,541,8,2,,,2,1998,1,20000,3,,2,,1009.5853
1,55,2,1893,3,2,22,1,1,96,1,4,Z30,1,39,24,1,541,9,2,,,1,1998,1,24000,3,,2,,1009.5853
1,55,2,1899,2,1,36,1,10,95,2,3,611,1,81,24,1,974,12,2,,,10,1997,1,19000,4,,2,,1009.5828
1,55,2,1901,2,2,41,1,9,95,2,2,Z20,1,39,24,1,541,12,2,,,9,1997,1,19000,4,,1,300,1009.5828
1,55,2,1903,3,2,32,1,11,92,1,6,Z20,1,39,24,1,541,47,2,,,11,1996,1,80000,3,,2,,1009.5828
1,55,2,1906,2,2,28,1,4,96,2,3,Z20,1,83,24,1,541,6,2,,,4,1998,1,8000,5,,2,,1009.5828
1,55,1,1579,3,2,40,2,4,96,4,4,541,1,81,24,1,162,43,2,,,4,1997,2,,,,2,,327.9427
1,55,1,1579,4,1,38,2,2,96,2,4,855,1,94,36,1,855,38,2,,,3,1998,1,47267,1,,2,,327.9427
1,55,1,1580,3,2,26,2,4,96,1,6,66,1,81,24,1,66,29,2,,,5,1997,1,7000,4,,2,,327.9427
1,55,1,1584,3,2,51,1,8,95,4,4,Z20,1,57,24,1,541,12,2,,,8,1997,2,,,,2,,327.9427
1,55,1,1295,2,1,41,4,1,96,2,4,839,1,81,12,1,839,48,2,,,1,1997,1,42000,1,,2,,327.9407
1,55,1,1504,3,2,31,7,7,96,2,4,Z20,1,82,24,1,541,48,2,,,7,1998,2,,,,2,,327.9415
1,55,1,1508,3,1,29,1,3,94,1,4,611,1,89,12,1,834,24,1,3,96,,,2,,,,2,,327.9415
1,55,1,1510,2,2,33,1,6,94,2,4,369,1,39,24,1,541,1,1,7,94,,,2,,,,2,,327.9415
1,55,2,1916,3,2,25,1,7,95,1,6,Z20,1,46,12,1,66,12,2,,,88,8888,1,12000,1,,2,,1009.5877
1,55,2,1916,3,2,28,2,3,94,1,6,67,1,39,24,1,541,21,2,,,12,1996,1,5000,1,,2,,1009.5877
