RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17_DTRET,RQ18_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ22_REMSPENT,RQ23_RET6MOS,RQ24_CASHHOME,RQ25_INKIND,RQ26_KINDAMT,RSWGT,RP6M_IND
01,0070,001,00222,03,02,2,41,03,032009,2,04,023,1,211,24,1,913,57,2,      ,032011,1,0060000,1,103020203010        ,2,       ,2,       ,000425.3574,1
01,0071,001,00222,05,02,2,41,01,122007,2,04,913,1,222,24,1,913,21,2,      ,122009,1,0018000,1,10702030            ,2,       ,2,       ,000425.3574,1
01,0072,003,00227,03,02,2,32,01,032008,2,68,913,1,222,24,1,913,18,2,      ,032010,1,0036000,1,1080    3020        ,2,       ,2,       ,000613.7265,1
01,0073,003,00227,06,03,2,25,02,022008,1,65,023,1,222,23,1,323,19,2,      ,012010,1,0048000,1,1065    3020        ,2,       ,2,       ,000613.7265,1
01,0074,003,00227,07,02,2,37,01,032009,2,04,921,1,234,23,1,913,06,2,      ,022011,1,0025000,1,1070    3020        ,2,       ,2,       ,000497.5631,1
01,0075,001,00250,03,06,2,24,01,052006,1,04,921,1,235,48,1,913,40,2,      ,052010,1,0003000,1,1100                ,2,       ,2,       ,000467.9926,1
01,0076,001,00250,04,03,2,35,01,052009,2,03,911,1,211,24,1,913,04,2,      ,052011,1,0006000,1,1050                ,2,       ,2,       ,000424.3921,1
01,0077,001,00250,06,02,1,43,02,042008,2,05,112,1,400,44,1,913,25,2,      ,122011,1,0060000,1,    20303070        ,2,       ,2,       ,000429.1908,1
01,0078,001,00250,04,03,2,40,01,092006,2,05,921,1,233,48,1,913,36,2,      ,092010,1,0013000,4,105020303020        ,2,       ,2,       ,000424.3921,1
01,0079,001,00254,10,03,2,27,01,082007,1,04,611,1,235,48,1,913,25,2,      ,082011,1,0033000,1,1060    3020        ,2,       ,2,       ,000525.4570,1
01,0080,001,00254,06,05,1,43,01,112007,2,04,611,1,232,24,1,931,22,2,      ,112009,1,0030000,1,1040    3040        ,2,       ,2,       ,000430.8177,1
01,0081,001,00254,05,02,2,45,01,032007,2,03,921,1,235,48,1,913,30,2,      ,032011,1,0022500,1,1050    3020        ,2,       ,2,       ,000389.5463,1
01,0082,004,00268,06,03,2,30,02,012009,1,64,021,1,235,24,1,213,40,2,      ,012011,1,0060000,1,1060    3010        ,2,       ,2,       ,000613.7265,1
01,0083,004,00268,03,02,2,31,02,032008,2,04,021,1,234,23,1,913,19,2,      ,022010,1,0036000,1,1070    3010        ,2,       ,2,       ,000613.7265,1
01,0084,001,00278,04,02,1,41,01,122008,2,04,512,1,234,36,1,512,09,2,      ,122011,1,0060000,4,1030                ,2,       ,2,       ,000429.1908,1
01,0085,004,00289,07,02,1,30,02,012009,2,04,643,1,100,12,1,721,21,2,      ,012010,1,0120000,5,105020303020        ,2,       ,2,       ,000506.4243,1
01,0086,004,00289,02,03,1,22,01,032009,1,05,921,1,400,24,1,834,06,2,      ,032011,1,0030000,1,102520503025        ,2,       ,2,       ,000431.4373,1
01,0086,004,00289,03,02,2,53,02,042007,2,04,513,1,400,37,1,513,60,2,      ,052010,1,0060000,1,102520153010        ,2,       ,2,       ,000389.5463,1
01,0087,004,00289,01,01,1,64,01,032009,3,02,611,4,400,07,2,   ,  ,2,      ,102009,2,       , ,                    ,2,       ,2,       ,000375.7761,2
01,0088,002,00292,04,03,2,32,01,092008,1,04,021,1,232,88,1,913,12,2,      ,888888,1,0014000,1,1050    3050        ,2,       ,2,       ,000524.6633,1
01,0089,002,00292,05,02,2,38,02,032007,2,04,021,1,400,88,1,913,46,2,      ,888888,1,0022000,1,1100                ,2,       ,2,       ,000425.3574,1
01,0090,002,00306,81,03,1,29,03,032009,2,05,921,1,234,12,1,422,58,2,      ,032010,2,       , ,                    ,2,       ,2,       ,000428.9621,1
01,0091,002,00306,02,03,2,21,01,052008,1,04,913,1,235,24,1,913,16,2,      ,052010,2,       , ,                    ,2,       ,2,       ,000495.5216,1
01,0092,002,00314,03,05,2,45,02,082008,2,63,421,2,235,24,1,513,24,2,      ,082010,1,0040000,1,10902010            ,2,       ,2,       ,000389.5463, 
01,0093,002,00314,03,03,2,41,01,032005,2,05,932,1,234,24,1,913,24,1,032007,      ,2,       , ,                    ,2,       ,2,       ,000451.0598,2
01,0094,002,00314,07,03,2,39,02,102008,1,05,913,1,211,21,1,913,60,2,      ,072010,1,0036000,1,10802020            ,2,       ,1,0002500,000451.0598,1
01,0095,002,00314,08,03,2,25,01,092007,1,68,021,1,211,25,1,913,24,2,      ,102009,1,0004000,1,1090    3010        ,2,       ,2,       ,000556.3663,1
01,0096,004,00330,03,03,2,29,02,112007,2,05,522,1,234,36,1,913,36,2,      ,112010,1,0030000,4,10802020            ,2,       ,1,0004000,000555.5259,1
01,0097,004,00330,03,03,1,26,01,042007,1,04,921,1,213,36,1,824,29,2,      ,042010,1,0020000,1,10502050            ,2,       ,2,       ,000535.4040,1
01,0098,004,00330,04,03,2,22,01,052009,2,04,921,1,223,24,1,522,04,2,      ,052011,2,       , ,                    ,2,       ,2,       ,000496.6486,1
01,0098,004,00330,05,03,2,33,01,112007,1,05,913,1,234,24,1,512,22,2,      ,112009,1,0023000,5,106020303010        ,2,       ,2,       ,000555.5259,1
01,0099,004,00330,06,03,2,31,02,052006,1,03,021,1,233,46,1,913,54,2,      ,032010,1,0015000,5,10802020            ,2,       ,2,       ,000555.5259,1
01,0100,004,00330,01,01,1,77,03,042008,2,02,023,4,500,17,2,   ,  ,1,092009,      ,2,       , ,                    ,1,0060000,1,0012000,000382.7283,2
01,0100,004,00330,02,02,2,75,03,042008,2,01,023,4,500,17,2,   ,  ,1,092009,      ,2,       , ,                    ,1,0000000,2,       ,000358.4570,2
01,0101,002,00352,07,05,1,31,01,032008,2,04,642,1,222,36,1,834,18,2,      ,032011,1,0015000,1,10102090            ,2,       ,2,       ,000504.5118,1
01,0102,002,00352,05,03,1,25,01,052006,1,63,113,1,400,46,1,512,40,2,      ,032010,1,0060000,1,1020                ,2,       ,2,       ,000504.5118,1
01,0103,002,00352,04,02,2,44,02,012009,2,64,743,1,211,14,1,913,32,2,      ,032010,1,0040000,1,1050                ,2,       ,2,       ,000424.3921,1
01,0104,002,00371,05,03,1,25,01,072009,1,68,023,1,100,10,1,834,02,2,      ,052010,1,0009000,2,1100                ,2,       ,2,       ,000506.0418,1
01,0105,002,00371,08,05,1,27,01,042008,2,05,832,1,213,36,1,827,17,2,      ,042011,1,0120000,5,1095    3005        ,2,       ,2,       ,000506.0418,1
01,0106,002,00371,03,03,2,28,03,062009,1,05,094,1,222,11,1,913,48,2,      ,052010,1,0030000,5,1100                ,1,0100000,1,0110000,000525.0601,1
01,0106,002,00371,05,03,2,27,01,072008,3,04,911,4,234,05,1,913,05,1,122008,      ,2,       , ,                    ,2,       ,2,       ,000525.0601,2
01,0107,002,00362,06,03,2,33,01,022008,4,04,522,1,235,24,1,913,19,2,      ,022010,1,0037000,5,1100                ,2,       ,2,       ,000523.0758,1
01,0108,002,00362,02,02,2,39,01,072006,2,04,021,1,233,02,1,913,02,1,092006,      ,2,       , ,                    ,2,       ,2,       ,000424.0704,2
01,0109,001,00399,01,01,1,44,02,052009,2,04,832,1,233,22,1,913,50,2,      ,032011,1,0018000,5,1100                ,2,       ,1,0017000,000476.5171,1
01,0110,004,00422,02,03,2,42,02,022009,1,05,021,1,233,36,1,913,42,2,      ,022012,1,0042000,5,10892011            ,2,       ,2,       ,000466.4774,1
01,0110,004,00422,03,03,2,27,01,112008,1,61,094,1,232,24,1,330,10,2,      ,112010,1,0006000,5,1100                ,2,       ,2,       ,000575.3834,1
01,0111,004,00422,01,01,1,42,03,052009,2,05,094,1,223,12,1,834,36,2,      ,052010,1,0100000,1,10702020            ,2,       ,2,       ,000471.7519,1
01,0112,001,00423,03,05,1,43,01,042009,2,05,834,2,500,36,1,915,05,2,      ,042012,2,       , ,                    ,2,       ,2,       ,000469.6280, 
01,0112,001,00423,04,03,2,34,02,092008,2,05,131,1,500,36,1,421,28,2,      ,092011,1,0010000,5,1087    3013        ,2,       ,2,       ,000572.7929,1
01,0112,001,00423,05,06,2,04,01,042009,1,00,023,4,500,36,2,   ,  ,2,      ,042012,2,       , ,                    ,2,       ,2,       ,000510.1766,2
01,0113,001,00423,02,02,2,37,01,032009,2,61,234,1,500,12,1,413,06,2,      ,032010,1,0090000,4,1081    3012        ,2,       ,2,       ,000464.3772,1
01,0114,001,00417,02,06,1,32,01,102007,2,68,611,1,213,36,1,932,23,2,      ,102010,1,0018000,4,1080                ,2,       ,2,       ,000533.6580,1
01,0115,001,00417,03,03,2,26,02,042009,1,04,913,1,222,36,1,913,48,2,      ,042012,1,0045000,4,1100                ,2,       ,2,       ,000553.7142,1
01,0116,001,00417,03,03,2,23,01,082008,1,03,913,1,234,36,1,913,13,2,      ,082011,1,0012000,4,1100                ,2,       ,2,       ,000495.0290,1
01,0117,001,00419,07,05,2,34,01,022007,2,05,621,1,213,44,1,513,31,2,      ,102010,2,       , ,                    ,2,       ,2,       ,000633.0090,1
01,0118,001,00419,04,03,1,24,01,112008,1,05,921,5,400,24,2,   ,  ,2,      ,112010,2,       , ,                    ,2,       ,2,       ,000519.7451,2
01,0119,001,00419,01,01,1,43,05,082009,2,04,731,1,234,12,1,724,50,2,      ,082010,1,0075200,5,1100                ,1,0075200,1,0008960,000518.9987,1
01,0120,001,00437,02,02,2,35,02,012008,2,61,234,1,213,24,1,914,44,2,      ,012010,1,0054000,1,105020203030        ,2,       ,1,0006500,000458.6726,1
01,0121,001,00437,02,02,2,44,01,092009,2,63,021,1,211,36,1,913,00,2,      ,092012,2,       , ,                    ,2,       ,2,       ,000458.6726,1
01,0122,001,00437,02,02,2,44,01,052008,2,05,913,1,234,24,1,913,16,2,      ,052010,1,0016000,5,10752025            ,2,       ,2,       ,000458.6726,1
01,0123,003,00443,01,01,1,44,05,112008,2,04,611,1,400,10,1,143,45,1,092009,      ,1,0024000,5,1100                ,1,0026400,2,       ,000452.0255,1
01,0124,003,00443,02,02,2,34,02,022009,2,04,921,1,211,08,1,913,41,2,      ,102009,2,       , ,                    ,2,       ,1,0004500,000551.3236,1
01,0125,003,00443,01,01,1,76,02,072009,2,04,611,4,500,06,2,   ,  ,2,      ,012010,2,       , ,                    ,2,       ,2,       ,000379.8332,2
01,0125,003,00443,02,02,2,66,01,082009,2,04,921,4,500,05,2,   ,  ,2,      ,012010,2,       , ,                    ,2,       ,2,       ,000355.7455,2
01,0126,003,00443,04,03,1,23,02,022009,1,04,921,1,222,37,1,834,25,2,      ,032012,2,       , ,                    ,2,       ,2,       ,000452.6756,1
01,0127,003,00439,01,01,2,42,01,072008,4,05,913,1,212,36,1,913,14,2,      ,072011,1,0090000,1,1100                ,2,       ,2,       ,000513.1959,1
01,0128,003,00439,01,01,1,43,01,072008,2,04,913,1,232,21,1,712,14,2,      ,042010,1,0054000,1,10802020            ,2,       ,2,       ,000518.9987,1
01,0129,003,00439,01,01,1,53,05,092008,2,65,834,1,214,17,1,834,50,2,      ,022010,1,1200000,2,102520253050        ,2,       ,2,       ,000462.3419,1
