REGN,FILLER,URB,HHCN,REL,SEX,AGE,TLEFT,MDTLEFT,YDTLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,INDWORK,OCCUP,NOMONTH,RET,MDTRET,YDTRET,MDTEXP,YDTEXP,CASHREM,CASHAMT,MODE,RETAPSEP,CASHHOME,KINDREM,KINDAMT,SWGT,P6M_IND
1,29,1,324,3,2,45,1,1,2002,2,4,21,6,96,88,1,913,9,2,,,88,8888,1,60000,1,2,,2,,208.2283,
1,29,1,327,3,1,36,1,12,2000,2,6,721,1,89,24,1,932,22,2,,,12,2002,1,70000,1,2,,2,,204.1118,1
1,29,1,335,3,2,28,2,5,2002,1,7,21,1,39,24,1,913,49,2,,,5,2004,1,10000,1,2,,2,,204.1118,1
1,29,1,335,3,2,26,2,12,2001,1,7,21,1,39,36,1,913,54,2,,,12,2004,1,10000,1,2,,2,,204.1118,1
1,33,2,961,3,1,50,2,1,2000,2,7,94,1,47,35,1,921,60,2,,,12,2002,1,30000,4,2,,1,3500,437.2791,1
1,33,2,961,4,2,49,2,1,2000,2,3,21,1,47,35,1,913,60,2,,,12,2002,1,30000,4,2,,1,3500,437.2791,1
1,33,2,962,1,1,33,1,1,2001,2,3,832,1,89,24,1,824,20,2,,,1,2003,1,10000,1,2,,2,,437.2791,1
1,33,2,971,6,2,34,2,6,2002,1,4,21,1,89,12,1,743,16,2,,,5,2003,1,5000,4,1,40000,1,3500,437.2791,1
1,33,2,972,2,2,45,2,10,2000,2,2,21,1,81,32,1,913,47,2,,,6,2003,1,30000,1,2,,2,,437.2791,1
1,33,1,784,1,1,67,3,5,2002,2,7,131,4,96,3,2,,,1,8,2002,,,2,,,1,20000,2,,203.0755,2
1,33,1,784,2,2,62,3,5,2002,2,7,131,4,96,3,2,,,1,8,2002,,,2,,,1,20000,2,,203.0755,2
1,33,2,990,2,2,33,2,4,2002,2,4,522,1,39,24,1,913,30,2,,,3,2004,1,20000,1,2,,2,,477.0309,1
1,33,2,992,3,2,25,2,4,2000,1,6,21,1,39,32,1,913,54,2,,,12,2002,1,14000,1,2,,2,,477.0309,1
1,33,2,822,1,1,41,2,6,2001,2,6,516,6,96,21,1,516,51,2,,,3,2003,1,36000,4,2,,2,,477.0322,
1,33,2,826,3,2,28,2,2,2000,1,4,932,1,39,28,1,913,39,1,6,2002,,,2,,,1,1000,2,,477.0322,1
1,33,2,826,4,2,36,2,2,2001,2,4,21,1,82,26,1,913,44,2,,,4,2003,2,,,2,,2,,477.0322,1
1,33,2,835,4,2,42,2,4,2000,2,4,21,1,39,35,1,913,60,2,,,3,2003,1,14000,4,2,,1,4000,437.2798,1
1,33,2,857,4,1,39,3,11,1998,2,2,714,1,81,88,1,714,60,2,,,88,8888,2,,,2,,2,,477.0328,1
1,33,2,861,1,1,41,1,1,2000,2,4,321,1,81,34,1,931,33,2,,,11,2002,1,46000,4,2,,2,,477.0328,1
1,33,1,733,3,2,24,1,10,1999,1,4,21,1,82,50,1,913,35,2,,,12,2002,1,1500,1,2,,2,,170.055,1
1,33,1,737,2,2,36,1,3,2001,2,4,921,1,82,24,1,913,18,2,,,3,2003,1,12000,1,2,,2,,170.055,1
