REGN,PROV,URB,HHCN,REL,SEX,AGE,MOLEFT,YRLEFT,MSTAT,HGRADE,USOCC,REASON,CTRY,OCUP,SWORK,RET,MORET,YRRET,MOEXP,YREXP,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
1,33,1,675,2,2,22,7,96,2,4,Z20,1,39,541,9995,2,,,99,1998,2,,,,2,,188.5765
1,33,1,683,2,1,37,7,96,2,6,985,1,999,25,9991,2,,,99,1998,1,60000,1,,2,,188.5765
1,33,2,916,2,2,43,1,97,2,5,Z20,1,39,541,9992,2,,,12,1997,1,35000,1,,1,700,528.9881
1,33,2,1033,6,1,59,10,96,2,4,531,1,96,531,684,2,,,7,1997,1,60000,1,,2,,440.823
1,33,2,1033,6,1,23,1,97,1,6,552,1,50,949,197,2,,,1,1999,1,27000,1,,2,,440.823
1,33,2,1037,3,1,26,4,95,4,2,999,1,15,999,291,2,,,5,1997,1,8000,2,,1,10500,440.823
1,33,2,1042,3,1,25,6,96,1,6,Z30,5,52,649,696,1,3,97,,,1,26000,1,,1,300,440.823
1,33,2,1047,3,2,27,3,97,1,5,Z20,1,94,389,295,2,,,3,1999,2,,,6000,1,40500,480.8985
1,33,2,1053,2,1,30,9,96,2,4,611,1,39,999,994,2,,,7,1997,1,8000,1,,2,,480.8985
1,33,2,1054,3,2,32,7,94,1,4,949,1,39,541,794,2,,,7,1997,1,2000,1,,1,800,480.8985
1,55,2,1589,2,1,45,10,96,2,4,611,1,35,599,192,2,,,10,1998,1,16000,1,,1,200,849.3942
1,55,2,1591,2,1,52,10,95,2,4,611,3,8,552,1095,2,,,10,1997,1,22500,1,,2,,849.3942
1,55,2,1596,3,2,41,6,95,1,4,755,1,94,541,695,2,,,88,8888,2,,,,2,,849.3942
1,55,1,1059,2,1,43,5,96,2,5,451,1,81,855,390,2,,,12,1997,1,45000,1,,2,,321.892
1,55,2,1600,3,1,29,99,99,1,4,452,1,96,981,1193,2,,,4,1997,1,48000,1,,2,,849.3949
1,55,2,1604,4,1,26,3,97,2,2,951,1,81,951,392,2,,,88,8888,1,2000,4,2000,1,12840,849.3949
1,55,2,1604,3,2,30,8,96,1,5,Z20,1,39,541,889,2,,,8,1998,1,8000,4,,2,,849.3949
1,55,2,1605,4,1,35,2,97,2,6,985,1,39,985,693,2,,,88,8888,2,,,3000,1,7980,849.3949
1,55,1,1461,2,1,32,3,97,2,6,134,1,21,789,795,2,,,12,1998,1,18000,5,,2,,321.8925
1,55,2,1704,3,2,25,8,96,1,4,Z20,1,51,541,896,2,,,10,1998,1,20000,4,,2,,849.3962
1,55,1,1467,4,1,32,2,97,1,5,621,1,81,985,693,2,,,88,8888,1,20000,1,45000,1,31700,321.8915
1,55,1,1469,4,1,35,3,95,2,6,611,1,999,985,491,2,,,6,1997,1,39000,1,,1,9000,321.8915
1,55,1,1488,2,1,35,10,94,2,4,954,1,81,954,589,1,2,97,,,1,30000,1,65000,2,,321.8919
1,55,1,1114,1,1,41,11,96,2,4,872,1,81,872,1185,1,3,97,,,1,55120,1,31200,1,3110,321.8919
1,55,2,1612,3,1,27,5,95,1,5,643,1,80,959,695,2,,,88,8888,1,7800,1,,2,,849.3941
1,55,2,1613,2,2,28,11,95,2,4,Z20,1,39,541,1195,2,,,88,8888,1,14000,1,,2,,849.3941
1,55,2,1649,4,1,40,1,97,2,5,551,1,81,551,387,2,,,12,1998,1,13000,4,30000,1,20000,849.3977
1,55,2,1652,2,1,99,3,97,2,5,389,1,52,981,686,2,,,3,1998,1,20000,1,156000,1,650,849.3977
1,55,1,1221,2,1,51,9,96,1,5,531,1,65,531,696,2,,,5,1997,1,30000,1,,2,,321.8918
1,55,1,1225,3,2,29,12,95,1,6,Z10,1,81,66,993,1,1,97,,,1,18200,1,26000,1,2000,321.8925
1,55,1,1239,2,1,52,10,95,2,4,855,1,63,855,1095,2,,,11,1998,1,6000,3,,2,,321.892
1,55,1,1243,2,1,44,4,96,2,2,531,1,52,531,794,2,,,3,1998,1,30000,1,,1,5500,321.892
1,55,1,1307,3,1,24,9,95,1,5,985,1,89,949,995,1,10,96,,,2,,,,2,,321.8918
1,55,1,1336,4,1,26,12,95,2,4,531,1,50,859,1295,2,,,12,1997,1,70000,1,,2,,321.8919
1,55,1,1353,3,2,38,12,93,1,5,Z20,1,18,541,790,2,,,12,1997,1,24000,1,,2,,321.8919
1,55,1,1356,3,1,21,1,97,1,3,959,1,64,981,9997,2,,,5,1997,2,,,,2,,321.8919
1,55,1,1361,2,1,46,7,96,2,4,939,1,81,939,1191,2,,,7,1997,1,16000,1,,2,,321.8919
1,55,1,1363,3,1,25,1,97,1,4,981,1,35,981,395,2,,,88,8888,2,,,18200,1,17200,321.8919
1,55,1,1363,3,1,26,2,96,2,6,Z30,1,89,949,895,2,,,7,1997,1,60000,4,,2,,321.8919
1,55,1,1370,3,1,25,1,97,1,6,756,1,89,756,1195,2,,,11,1997,1,40000,1,,2,,321.8925
1,55,1,1376,2,1,41,12,94,2,5,381,1,81,381,1291,1,11,96,,,1,12000,1,35000,2,,321.8925
1,55,1,1377,2,2,43,1,97,2,4,541,1,39,541,1291,2,,,12,1999,1,19000,1,30000,1,6700,321.8925
1,55,1,1379,2,1,46,1,97,2,4,389,1,81,772,197,2,,,12,1999,2,,,,2,,321.8925
1,55,1,1135,2,2,40,6,95,2,4,591,1,81,871,291,2,,,88,8888,1,9000,4,,2,,321.8922
1,55,2,1661,3,2,26,9,91,1,5,Z30,1,82,541,991,2,,,9,1997,1,31000,4,,2,,849.3945
1,55,1,1150,3,2,26,11,96,1,5,389,1,81,66,1296,2,,,5,1997,2,,,,2,,321.8918
1,55,2,1635,3,2,25,8,96,2,4,Z20,1,15,541,896,2,,,5,1998,1,8000,4,,2,,849.4008
1,55,2,1706,2,1,33,5,96,2,4,611,1,81,954,596,2,,,6,1998,1,24000,1,,2,,849.3985
1,55,2,1709,3,2,41,4,96,4,4,Z20,1,46,541,394,2,,,6,1998,1,18000,1,,2,,849.3985
1,55,1,1253,2,1,40,1,96,2,4,Z90,1,52,981,1196,2,,,11,1997,1,45000,1,,2,,321.8919
1,55,1,1382,4,1,34,12,95,2,6,23,1,78,851,9993,1,1,97,,,1,20000,1,15000,1,6500,321.8917
1,55,1,1387,2,2,35,1,95,2,4,Z20,1,54,541,195,2,,,12,1997,1,15500,1,,2,,321.8917
1,55,1,1390,3,2,33,1,95,1,5,Z20,1,39,541,9992,2,,,12,1997,1,13000,1,,2,,321.8917
1,55,1,1408,2,2,32,3,97,2,5,Z20,1,39,541,397,2,,,2,1999,2,,,,2,,321.892
1,55,1,1415,2,2,37,12,96,2,4,Z20,1,39,541,1296,2,,,11,1998,2,,,,2,,321.892
1,55,1,1444,2,1,44,1,95,2,6,386,1,81,386,1189,1,3,97,,,1,29500,1,,2,,351.1552
1,55,1,1446,3,2,29,10,89,1,4,Z30,1,52,594,1089,2,,,88,8888,1,47500,3,,2,,351.1552
1,55,1,1450,3,2,26,3,97,1,4,541,1,94,541,397,2,,,2,1999,2,,,,2,,351.1552
1,55,1,1195,2,2,46,9,93,2,4,Z20,1,57,541,993,1,11,96,,,2,,,20000,2,,321.8926
1,55,1,1267,3,2,31,10,96,4,4,Z20,1,39,541,1096,2,,,8,1998,1,24000,4,,1,2100,321.8925
1,55,1,1267,3,1,26,4,90,1,4,611,1,81,531,490,2,,,11,1997,1,12000,4,,2,,321.8925
1,55,2,1855,3,1,28,3,96,1,2,Y19,1,81,522,396,2,,,12,1997,1,4000,4,,1,5000,849.3962
1,55,2,1856,3,1,21,3,95,1,4,621,1,81,522,395,2,,,5,1997,1,1000,3,,2,,849.3962
1,55,2,1793,6,1,33,9,96,2,5,611,1,81,959,1091,2,,,88,8888,1,21000,4,,2,,849.3948
1,55,2,1793,6,2,31,9,96,2,4,Z20,1,81,974,1091,2,,,88,8888,2,,,,2,,849.3948
1,55,2,1795,2,1,45,7,91,2,4,954,1,52,954,791,2,,,88,8888,1,28000,1,,1,12500,849.3948
1,55,1,1495,4,2,38,6,96,2,2,Z20,1,10,541,696,2,,,5,1997,1,10000,4,,1,1500,321.891
1,55,1,1495,3,1,40,4,96,2,4,985,1,10,985,496,2,,,5,1997,1,15000,4,,1,2500,321.891
1,55,2,1862,2,2,99,12,95,2,4,Z20,1,39,541,1295,2,,,12,1997,2,,,,2,,849.3985
1,55,2,1869,2,2,43,4,95,1,4,Z20,1,39,541,495,2,,,4,1999,1,42000,1,,2,,849.3985
1,55,1,1550,4,1,31,2,97,2,4,855,2,99,855,893,2,,,8,1997,1,78000,1,18445,2,,321.8913
1,55,1,1551,6,2,25,11,96,1,4,Z20,1,39,541,1196,2,,,12,1998,2,,,,1,1000,321.8913
1,55,1,1558,2,1,30,5,96,2,4,859,1,81,954,596,2,,,6,1997,1,24000,4,,1,1000,321.8913
1,55,2,1731,2,2,46,3,96,2,4,942,1,54,541,396,2,,,4,1998,2,,,,2,,849.3971
1,55,2,1738,6,2,24,8,95,1,6,942,1,82,541,895,2,,,12,1997,1,12000,4,,2,,849.3971
1,55,1,1274,2,1,31,5,94,2,6,Z30,1,63,981,594,1,10,96,,,2,,,40000,2,,321.892
1,55,2,1744,2,2,46,3,93,2,6,66,1,81,68,393,2,,,5,1997,1,18000,4,,2,,849.3914
1,55,2,1771,4,1,99,99,99,2,7,999,1,52,999,9999,2,,,88,8888,2,,,,2,,849.3974
