REG,HHNUM,RPL,PSU,Q1_LNO,Q2_REL,Q3_SEX,Q4_AGE,Q5_TMSLEFT,Q6_DTLEFT,Q7_MSTAT,Q8_HGRADE,Q9_USOCC,Q10_REASON,Q11_CTRY,Q12_STAY,Q13_INDWORK,Q14_OCCUP1,Q15_NOMONTH,Q16_RET,Q17_DTRET,Q18_DTEXP,Q19_CASHREM,Q20_CASHAMT,Q21_MODE,Q22_RET6MOS,Q23_CASHHOME,Q24_INKIND,Q25_KINDAMT,SWGT,P6M_IND
01,00129,3,00845,02,02,2,30,01,102004,2,04,0210,1,235,25,1,9131,23,2,      ,112006,1,030000,1,2,      ,2,      ,000464.0370,1
01,00130,4,00866,03,03,2,43,02,012004,1,05,0920,1,222,40,1,9131,57,2,      ,052007,1,018000,4,2,      ,2,      ,000410.9681,1
01,00130,4,00866,04,03,2,36,02,012004,4,04,0920,1,222,40,1,9131,57,2,      ,052007,1,030000,4,2,      ,2,      ,000410.9681,1
01,00131,4,00866,03,03,1,28,02,062006,1,64,4222,1,222,24,1,4222,28,2,      ,062008,1,020000,1,1,070000,1,054500,000466.7220,1
01,00132,4,00866,01,01,2,45,02,012005,4,63,0920,1,233,24,1,9131,45,2,      ,012007,1,036000,4,2,      ,1,010000,000375.3136,1
01,00133,3,00873,02,02,2,46,01,112003,2,04,9113,1,213,36,1,9131,34,2,      ,112006,1,042000,1,2,      ,1,005000,000364.0643,1
01,00134,3,00873,02,02,2,48,02,102005,2,02,0920,1,400,60,1,9131,48,2,      ,102010,1,060000,1,2,      ,2,      ,000364.0643,1
01,00135,3,00873,03,05,1,33,04,092006,2,05,0920,1,233,09,1,8340,32,2,      ,062007,1,080000,1,1,200000,1,066500,000452.7329,1
01,00136,4,00922,03,03,2,20,01,022004,1,04,0210,1,300,36,1,5123,31,2,      ,022007,1,015000,4,2,      ,2,      ,000456.9849,1
01,00137,2,00947,03,03,2,32,01,102005,1,65,0920,1,500,88,1,9131,11,2,      ,888888,2,      , ,2,      ,2,      ,000539.5109,1
01,00137,2,00947,04,03,2,30,01,122003,1,05,0920,1,400,88,1,9131,33,2,      ,888888,1,007000,4,2,      ,2,      ,000539.5109,1
01,00137,2,00947,05,03,1,29,01,122004,1,05,9211,1,233,24,1,9322,21,2,      ,122006,1,005000,4,2,      ,2,      ,000525.5689,1
01,00137,2,00947,06,03,2,25,02,072006,1,61,0920,1,211,12,1,9131,27,2,      ,072007,1,006000,1,2,      ,2,      ,000539.5109,1
01,00138,2,00947,05,02,1,36,05,012006,2,05,0920,1,211,24,1,7231,60,2,      ,012008,1,060000,1,2,      ,2,      ,000446.3561,1
01,00139,4,00957,07,03,2,27,01,082005,1,04,5220,1,233,88,1,9131,13,2,      ,888888,1,012000,4,2,      ,2,      ,000465.4485,1
01,00140,4,00957,01,01,1,44,03,032005,2,02,7436,1,233,24,1,7436,58,2,      ,032007,1,060000,4,2,      ,2,      ,000385.0817,1
01,00141,3,00978,05,03,2,25,01,042005,1,04,6212,1,213,24,1,9131,17,2,      ,042007,1,023000,4,2,      ,1,001000,000509.0843,1
01,00142,3,00978,02,02,2,45,03,092006,2,02,0210,1,221,24,1,9131,47,2,      ,092008,1,010000,4,2,      ,2,      ,000398.8001,1
01,00143,4,01002,04,03,1,28,01,072005,1,65,9211,1,213,24,1,9322,14,2,      ,072007,1,060000,4,2,      ,2,      ,000464.7538,1
01,00144,3,01026,02,03,2,35,02,112004,1,05,5220,1,235,25,1,5133,47,2,      ,122006,1,030000,4,2,      ,2,      ,000424.8549,1
01,00144,3,01026,03,03,1,28,01,122005,1,05,5123,1,235,13,1,5133,09,2,      ,012007,1,030000,4,2,      ,2,      ,000482.4928,1
01,00144,3,01026,04,03,2,36,02,022005,4,05,4211,1,235,49,1,5133,31,2,      ,032009,1,090000,4,2,      ,2,      ,000424.8549,1
01,00145,3,01026,02,02,2,39,03,012006,2,04,0210,1,211,35,1,9131,56,2,      ,122008,1,048000,4,2,      ,2,      ,000424.8549,1
01,00146,1,01010,02,02,2,36,02,122005,2,05,0210,1,222,12,1,9131,24,2,      ,122006,1,006000,1,2,      ,2,      ,000410.1066,1
01,00147,1,01010,03,03,2,35,02,082006,1,04,5220,1,235,24,1,9131,24,2,      ,082008,2,      , ,2,      ,2,      ,000410.1066,1
01,00148,1,01012,03,03,2,21,01,062005,1,04,0210,1,211,25,1,9131,15,2,      ,072007,1,030000,1,2,      ,2,      ,000433.2693,1
01,00149,1,01012,81,07,1,50,01,102003,3,02,7436,1,235,12,1,7436,12,1,102004,      ,2,      , ,2,      ,2,      ,000389.5349,2
01,00150,3,01033,01,01,1,46,01,032005,2,04,8324,1,233,24,1,8324,18,2,      ,032007,1,030000,1,2,      ,2,      ,000359.7447,1
01,00151,3,01033,03,03,2,23,01,042004,1,04,5220,1,211,36,1,9131,29,2,      ,042007,1,023000,1,2,      ,2,      ,000433.2693,1
01,00152,3,01033,03,03,2,29,01,062005,1,04,0210,1,235,23,1,5133,15,2,      ,052007,1,047000,1,2,      ,2,      ,000465.0956,1
01,00153,1,01029,01,01,1,49,02,012003,2,05,1314,1,233,11,1,9313,26,1,122003,      ,2,      , ,2,      ,2,      ,000368.9487,2
01,00154,1,01029,01,01,1,27,01,052006,2,66,3112,1,233,24,1,1430,04,2,      ,052008,2,      , ,2,      ,2,      ,000464.6685,1
01,00155,2,01044,02,02,2,52,01,042006,2,63,4190,1,400,24,1,9131,05,2,      ,042008,1,045000,1,2,      ,2,      ,000373.6623,1
01,00156,2,01044,02,02,2,38,02,072004,2,04,9211,1,211,24,1,9131,54,1,072006,      ,1,055000,4,1,070000,1,012000,000409.1599,1
01,00157,2,01044,01,01,1,34,01,072006,2,04,6111,1,400,24,1,8322,02,2,      ,072008,1,030000,4,2,      ,2,      ,000464.6685,1
01,00158,2,01044,01,01,1,48,02,012006,2,05,7241,1,212,12,1,8340,16,2,      ,012007,1,017000,1,2,      ,2,      ,000368.9487,1
01,00159,2,01044,09,03,1,26,01,022006,1,65,0231,1,222,25,1,2231,07,2,      ,032008,1,080000,4,2,      ,2,      ,000464.6685,1
01,00160,2,01044,03,03,1,23,02,032002,1,04,9211,1,234,37,1,9313,43,1,042006,      ,1,070000,4,1,050000,1,012000,000396.8793,1
01,00161,2,01044,03,03,2,22,01,072006,1,04,5220,1,221,24,1,9131,02,2,      ,072008,1,050000,4,2,      ,2,      ,000444.3544,1
01,00162,1,01055,81,03,2,45,02,052006,4,05,0210,6,400,07,1,9131,59,2,      ,122006,1,036000,1,1,100000,1,050000,000389.2393, 
01,00163,1,01055,02,03,1,31,02,102005,1,65,2231,1,100,24,1,2231,49,2,      ,102007,1,110000,1,2,      ,2,      ,000452.7329,1
01,00164,1,01055,04,03,2,29,02,082002,2,04,0210,1,212,05,1,3473,18,1,012003,      ,2,      , ,2,      ,2,      ,000464.7427,2
01,00165,1,01076,05,03,1,26,01,072006,1,04,8223,1,212,36,1,8231,02,2,      ,072009,1,045000,1,2,      ,2,      ,000483.2818,1
01,00166,4,01069,81,02,1,44,02,112004,2,65,1317,6,500,88,1,2151,44,2,      ,888888,1,065000,1,2,      ,2,      ,000389.2393, 
01,00167,2,01068,03,03,2,27,01,082005,1,65,0112,1,233,24,1,5131,13,2,      ,082007,1,009000,1,2,      ,2,      ,000499.5471,1
01,00168,2,01068,06,05,2,27,01,092005,2,61,9322,1,223,24,1,2341,12,2,      ,092007,1,024000,1,2,      ,1,001300,000499.5471,1
01,00169,2,01068,02,02,2,43,02,042006,2,05,0210,1,211,24,1,9131,58,2,      ,042008,1,090000,1,2,      ,1,008000,000428.5048,1
01,00170,2,01074,02,02,2,43,03,042006,2,05,0210,1,233,24,1,9131,58,2,      ,042008,1,048000,1,2,      ,2,      ,000412.0443,1
01,00171,2,01074,02,02,2,33,01,082004,2,04,0210,1,235,48,1,5133,25,2,      ,082008,1,042000,3,2,      ,2,      ,000480.3577,1
01,00172,2,01074,03,03,2,24,01,102004,1,05,7242,1,222,24,1,9131,23,2,      ,102006,1,030000,1,2,      ,2,      ,000447.4869,1
01,00173,4,01082,05,03,2,41,02,032002,2,05,9111,1,213,21,1,5133,55,1,042004,      ,2,      , ,2,      ,2,      ,000412.8768,2
01,00174,4,01082,01,01,1,32,01,092006,2,04,6111,1,233,88,1,7214,00,2,      ,888888,2,      , ,2,      ,2,      ,000468.8896,1
01,00174,4,01082,04,08,1,24,01,042006,2,05,7435,1,213,88,1,8273,05,2,      ,888888,1,060000,1,2,      ,2,      ,000400.4846,1
01,00175,4,01082,04,05,2,49,03,052006,2,04,4131,1,233,88,1,4131,60,2,      ,888888,1,030000,1,2,      ,2,      ,000377.0567,1
01,00176,4,01082,02,02,2,37,02,042003,2,05,0210,1,213,48,1,9131,58,2,      ,042007,1,060000,1,2,      ,1,015000,000412.8768,1
01,00177,3,01094,04,02,1,27,01,052006,2,05,5220,1,232,17,1,7242,04,2,      ,102007,1,036000,1,2,      ,2,      ,000480.5358,1
01,00178,3,01094,08,03,1,26,01,102004,1,65,9211,1,213,34,1,9322,23,2,      ,082007,1,040000,1,2,      ,2,      ,000480.5358,1
01,00179,3,01094,04,03,2,33,04,042004,2,65,2231,1,400,29,1,2231,60,1,092006,      ,1,300000,1,1,050000,1,030000,000493.2832,1
01,00179,3,01094,08,03,1,29,01,082004,1,65,2229,1,222,88,1,2229,25,2,      ,888888,1,018000,1,2,      ,2,      ,000480.5358,1
01,00180,3,01094,05,03,1,23,01,072004,1,65,2231,1,222,88,1,2231,26,2,      ,888888,1,048000,1,2,      ,2,      ,000410.4318,1
01,00181,2,01091,02,02,2,38,01,102005,2,04,0210,1,400,24,1,9131,11,2,      ,052007,1,048000,5,2,      ,2,      ,000398.6501,1
