REG,HHID,Q1_LNO,Q2_REL,Q3_SEX,Q4_AGE,Q5_TMSLEFT,Q6M_DTLEFT,Q6Y_DTLEFT,Q7_MSTAT,Q8_HGRADE,Q9USOCC,Q10_REASON,Q11_BASE,Q12_CTRY,Q13_STAY,Q14_INDWORK,Q15OCCUP,Q16_NOMONTH,Q17_RET,Q18M_DTRET,Q18Y_DTRET,Q19_REASON,Q20M_DTEXP,Q20Y_DTEXP,Q21_CASHREM,Q22_CASHAMT,Q23_MODE,Q241C_CONSUM,Q241P_CONSUM,Q242C_INVEST,Q242P_INVEST,Q243C_SAVINGS,Q243P_SAVINGS,Q244C_OTHERS,Q244P_OTHERS,Q25_RET6MOS,Q26_CASHHOME,Q27_INKIND,Q28_KINDAMT,SWGT,P6M_IND
01,221321003142101290001292700900000120143,03,03,1,36,03,04,2012,2,64,023,1,1,057,24,1,213,54,2,,,,04,2014,1,0075000,1,1,090,,,3,010,,,1,0000000,2,,000469.2876,1
01,221321003142101290001292700900000120143,07,03,2,39,01,01,2012,3,61,233,1,1,039,24,1,913,08,2,,,,01,2014,1,0060000,2,1,080,,,3,020,,,2,,2,,000446.8651,1
01,221321003142101290001292700900000170206,02,02,2,45,01,05,2011,2,04,913,1,1,039,24,1,913,16,2,,,,05,2013,1,0030000,1,1,090,,,3,010,,,2,,2,,000400.0539,1
01,221321003142101290001292700900000190229,04,03,2,31,01,02,2012,1,63,512,1,1,039,24,1,913,07,2,,,,02,2014,1,0006000,1,1,090,,,3,010,,,2,,2,,000541.5191,1
01,422213003302001290001293004100000010003,02,03,2,33,02,06,2012,1,57,911,1,1,082,24,1,513,24,2,,,,06,2014,1,0015000,4,1,100,,,,,,,1,0030000,2,,000513.6659,1
01,422213003302001290001293004100000030030,06,06,2,46,02,06,2011,2,63,021,1,1,039,36,1,913,54,2,,,,06,2014,1,0008000,4,1,100,,,,,,,2,,2,,000379.4771,1
01,422213003302001290001293004100000030030,07,06,2,44,02,04,2008,2,06,021,1,1,039,88,1,913,60,2,,,,88,8888,1,0024000,1,1,100,,,,,,,2,,2,,000423.8805,1
01,422213003302001290001293004100000100126,03,05,2,28,01,11,2009,2,53,021,1,1,078,34,1,513,34,1,09,2012,2,,,1,0030000,4,1,100,,,,,,,1,0050000,1,0009000,000513.6659,1
01,422213003302001290001293004100000130167,05,03,1,26,02,08,2011,1,67,021,1,1,096,88,1,223,36,2,,,,88,8888,1,0045000,1,1,050,2,030,3,020,,,2,,2,,000534.0759,1
01,422213003302001290001293004100000130167,06,03,2,34,02,06,2011,1,64,021,2,1,047,26,1,513,58,2,,,,08,2013,1,0045000,4,1,050,2,020,3,030,,,2,,2,,000513.6659,1
01,221108003522101290001293401000000080065,02,02,2,57,03,09,2012,2,03,021,1,1,039,23,1,913,55,2,,,,08,2014,1,0030000,1,1,100,,,,,,,1,0003000,2,,000361.2610,1
01,221108003522101290001293401000000080065,04,05,2,36,03,03,2012,2,53,021,1,1,039,23,1,913,55,2,,,,02,2014,1,0030000,1,1,100,,,,,,,2,,2,,000446.4140,1
01,221108003522101290001293401000000120099,03,03,1,28,02,11,2009,2,54,023,1,1,089,35,1,932,56,2,,,,10,2012,1,0085000,1,1,100,,,,,,,2,,2,,000562.4674,1
01,221108003522101290001293401000000130107,04,03,2,46,02,07,2012,2,04,021,1,1,082,23,1,913,48,2,,,,06,2014,1,0008000,5,1,100,,,,,,,1,0020000,2,,000399.6501,1
