REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,DTLEFTM,DTLEFTY,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,INDWORK,OCCUP,NOMONTH,RET,DTRETM,DTRETY,DTEXPM,DTEXPY,CASHREM,CASHAMT,MODE,RET6MOS,CASHHOME,INKIND,KINDAMT,SWGT
01,29,2,0389,3,1,32,01,12,1999,2,5,854,8,047,88,1,541,09,2,  ,    ,88,8888,1,020000,1,2,      ,2,      ,0374.2729
01,29,2,0390,3,2,26,01,09,1999,1,7,066,4,061,08,2,   ,  ,1,05,2000,  ,    ,2,      , ,1,      ,2,      ,0374.2729
01,29,2,0390,3,2,24,02,09,1999,1,7,Z90,1,082,13,1,541,45,2,  ,    ,10,2000,1,045000,4,2,      ,1,004250,0374.2729
01,29,2,0392,2,1,40,01,09,1998,2,4,611,1,047,88,1,541,24,2,  ,    ,88,8888,1,060000,4,2,      ,2,      ,0374.2729
01,29,2,0393,3,1,27,02,08,2000,1,7,Z90,1,081,88,1,066,36,2,  ,    ,88,8888,1,005000,1,1,070000,1,004500,0374.2729
01,29,2,0393,4,1,29,02,08,1999,2,7,Z90,1,081,88,1,531,45,2,  ,    ,88,8888,2,      , ,2,      ,2,      ,0374.2729
01,29,2,0393,3,2,31,03,08,1999,2,7,Z90,1,081,88,1,066,48,2,  ,    ,88,8888,1,005000,1,2,      ,2,      ,0374.2729
01,29,2,0397,3,1,23,01,10,1999,1,7,621,1,051,24,1,599,12,2,  ,    ,12,2001,1,028000,4,2,      ,2,      ,0374.2740
01,29,2,0399,3,2,25,02,04,1997,1,6,Z30,3,035,43,1,599,41,2,  ,    ,11,2000,1,060000,2,2,      ,2,      ,0374.2740
01,29,2,0399,3,2,33,02,05,2000,1,6,Z30,1,035,24,1,541,56,2,  ,    ,05,2002,1,015000,3,2,      ,1,007000,0374.2740
01,29,2,0403,3,2,30,01,09,1998,1,1,621,1,081,27,1,541,25,2,  ,    ,12,2000,1,005000,4,2,      ,2,      ,0374.2740
01,29,2,0403,3,2,31,01,09,1998,1,2,621,1,051,27,1,541,25,2,  ,    ,12,2000,1,006000,4,2,      ,2,      ,0374.2740
01,29,2,0408,2,2,36,01,01,2000,2,4,Z20,1,051,24,1,541,08,2,  ,    ,01,2002,1,030000,4,2,      ,2,      ,0374.2740
01,29,2,0409,3,2,32,01,09,1999,1,4,Z20,1,083,24,1,541,13,2,  ,    ,10,2001,1,016000,1,2,      ,2,      ,0374.2729
01,29,2,0429,6,1,72,01,04,2000,2,0,611,6,096,88,1,551,05,2,  ,    ,88,8888,1,006000,4,2,      ,2,      ,0374.2742
01,29,2,0429,6,2,62,01,04,2000,2,1,Z20,6,096,88,1,551,05,2,  ,    ,88,8888,2,      , ,2,      ,2,      ,0374.2742
01,29,2,0432,6,1,19,01,10,1999,1,8,621,4,047,88,1,541,12,2,  ,    ,88,8888,1,015000,4,2,      ,2,      ,0374.2742
01,29,2,0434,3,2,29,01,09,2000,1,3,985,1,082,88,1,541,01,2,  ,    ,88,8888,2,      , ,2,      ,2,      ,0374.2728
01,29,2,0434,3,2,28,01,05,2000,4,4,Z20,1,039,88,1,541,04,2,  ,    ,88,8888,1,012000,1,2,      ,2,      ,0374.2728
01,29,2,0435,3,2,40,02,02,2000,1,4,Z20,1,039,88,1,541,24,2,  ,    ,88,8888,1,018000,1,2,      ,2,      ,0374.2728
01,29,2,0438,3,1,42,02,06,2000,1,7,611,1,018,88,1,981,36,2,  ,    ,88,8888,1,075000,1,1,040000,2,      ,0374.2728
01,29,2,0438,3,2,31,02,05,1999,1,7,Z20,1,081,24,1,541,36,2,  ,    ,05,2001,1,010000,1,2,      ,2,      ,0374.2728
01,29,2,0446,1,1,42,05,08,2000,2,7,Z90,1,032,10,1,859,50,2,  ,    ,06,2001,1,020000,1,1,050000,2,      ,0374.2721
01,29,2,0447,3,1,34,01,07,1998,1,4,599,1,081,24,1,552,24,1,07,2000,  ,    ,2,      , ,1,075000,1,001500,0374.2721
01,29,2,0454,2,2,30,02,05,2000,2,5,412,1,082,88,1,541,48,2,  ,    ,88,8888,1,007000,4,1,050000,1,015000,0374.2721
01,29,2,0466,3,2,37,02,05,2000,2,4,Z20,1,094,24,1,541,60,2,  ,    ,05,2002,2,      , ,1,090000,1,002500,0374.2724
01,29,2,0494,2,2,45,01,05,2000,2,7,Z20,1,035,24,1,541,04,2,  ,    ,03,2001,1,015000,1,2,      ,2,      ,0374.2733
01,29,2,0495,2,2,52,01,05,1997,2,7,134,1,035,48,1,541,40,2,  ,    ,05,2001,1,067000,1,2,      ,2,      ,0374.2733
01,29,2,0497,3,2,23,01,05,1999,1,4,Z20,1,039,24,1,541,17,2,  ,    ,04,2001,1,017000,1,2,      ,2,      ,0374.2733
01,29,2,0499,3,2,31,01,01,1997,2,1,Z20,1,081,24,1,541,24,1,01,1999,  ,    ,2,      , ,2,      ,2,      ,0374.2733
01,29,2,0523,6,1,37,01,11,1999,2,7,511,4,050,88,1,759,10,2,  ,    ,88,8888,1,045000,1,2,      ,2,      ,0374.2728
01,29,2,0532,2,2,41,02,99,1997,2,6,Z20,1,039,24,1,541,48,1,03,1999,  ,    ,2,      , ,2,      ,2,      ,0385.6162
01,29,2,0533,2,1,52,02,08,1999,2,4,Z90,3,083,48,1,541,28,2,  ,    ,99,2001,1,030000,4,2,      ,2,      ,0385.6162
