RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17M_DTRET,RQ17Y_DTRET,RQ18M_DTEXP,RQ18Y_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ22_RET6MOS,RQ23_CASHHOME,RQ24_INKIND,RQ25_KINDAMT,RSWGT,RP6M_IND
01,0072,001,00278,06,02,2,50,02,06,2004,2,04,021,1,400,88,1,913,60,2,,,88,8888,1,0090000,1,2,,2,,000366.8580,1
01,0073,001,00278,04,03,2,39,02,01,2007,1,04,021,1,231,24,1,913,60,2,,,01,2009,1,0030000,1,2,,2,,000403.7689,1
01,0074,001,00278,05,03,2,39,03,03,2006,2,04,021,1,400,88,1,913,60,2,,,88,8888,1,0072000,1,2,,2,,000403.7689,1
01,0075,001,00278,07,03,2,30,01,10,2006,2,68,522,1,212,36,1,522,11,2,,,09,2009,1,0045000,1,2,,2,,000483.0437,1
01,0076,004,00289,04,05,2,27,01,11,2006,2,05,021,1,234,24,1,913,10,2,,,11,2008,1,0012000,4,2,,2,,000484.8748,1
01,0077,002,00292,04,02,2,43,02,04,2006,2,05,913,1,211,88,1,913,48,2,,,88,8888,1,0011000,4,2,,2,,000404.6873,1
01,0078,002,00292,05,03,2,32,01,08,2006,2,04,913,1,222,88,1,913,13,2,,,88,8888,1,0014000,5,2,,2,,000484.1424,1
01,0079,002,00314,05,03,2,27,02,09,2006,1,04,913,1,235,24,1,913,37,2,,,09,2008,1,0009000,1,2,,2,,000515.1795,1
01,0080,004,00330,04,02,2,38,02,05,2007,2,02,921,1,234,19,1,913,48,2,,,12,2008,1,0054000,1,2,,2,,000404.6873,1
01,0080,004,00330,05,08,2,27,01,12,2006,2,05,921,1,222,24,1,913,09,2,,,12,2008,2,,,2,,2,,000484.1424,1
01,0081,002,00352,04,05,1,30,02,06,2007,2,64,092,1,234,24,1,741,60,2,,,05,2009,1,0030000,1,1,0040000,2,,000470.5785,1
01,0081,002,00352,05,03,2,28,02,09,2005,2,63,092,1,234,13,1,513,36,1,10,2006,,,2,,,2,,2,,000483.0437,2
01,0082,002,00371,01,01,1,38,02,08,2007,2,05,092,1,234,24,1,913,47,2,,,08,2009,1,0010000,5,1,0060750,1,0003000,000404.4319,1
