RREG,HHNUM,RRPL,RSTR,RPSU,RROTATION,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_BASE,RQ12_CTRY,RQ13_STAY,RQ14_INDWORK,RQ15_OCCUP1,RQ16_NOMONTH,RQ17_RET,RQ18M_DTRET,RQ18Y_DTRET,RQ19_REASON,RQ20M_DTEXP,RQ20Y_DTEXP,RQ21_CASHREM,RQ22_CASHAMT,RQ23_MODE,RQ241C_CONSUM,RQ241P_CONSUM,RQ242C_INVEST,RQ242P_INVEST,RQ243C_SAVINGS,RQ243P_SAVINGS,RQ244C_GIFT,RQ244P_GIFT,RQ245C_OTHERS,RQ245P_OTHERS,RQ25_RET6MOS,RQ26_CASHHOME,RQ27_INKIND,RQ28_KINDAMT,RSWGT,RP6M_IND
01,0092,2,21223,00212,26,05,05,1,39,01,12,2013,2,04,422,1,1,234,24,1,912,21,2,,,,12,2015,2,,,,,,,,,,,,,1,0030000,2,,000479.5905,1
01,0092,2,21223,00212,26,06,03,2,39,02,08,2015,2,67,223,1,1,234,24,1,322,29,2,,,,08,2017,1,0020000,5,1,100,,,,,,,,,1,0030000,2,,000476.4267,1
01,0093,2,21223,00212,26,04,05,1,26,01,02,2015,2,68,023,1,1,234,24,1,522,07,2,,,,02,2017,2,,,,,,,,,,,,,2,,2,,000514.9855,1
01,0093,2,21223,00212,26,07,03,1,24,01,04,2013,1,68,023,1,1,232,36,1,512,29,2,,,,04,2016,1,0005000,1,1,100,,,,,,,,,2,,2,,000490.5611,1
01,0094,2,21223,00212,26,03,02,2,44,02,03,2014,2,04,021,1,1,211,24,1,913,41,1,12,2014,3,,,1,0072000,5,1,100,,,,,,,,,2,,2,,000476.4267,2
01,0095,3,21127,00214,28,07,07,2,50,02,12,2013,2,63,023,1,1,233,24,1,913,45,2,,,,12,2015,1,0042000,5,1,100,,,,,,,,,2,,2,,000395.3677,1
01,0096,3,21127,00214,28,81,02,1,52,05,07,2015,2,55,023,6,,500,11,1,723,55,2,,,,06,2016,1,0161000,5,1,100,,,,,,,,,1,0040000,2,,000485.5569,
01,0096,3,21127,00214,28,82,03,2,18,02,07,2015,1,04,023,6,,500,88,2,,,2,,,,88,8888,2,,,,,,,,,,,,,1,0000000,2,,000485.5569,
01,0097,3,21127,00214,28,81,02,1,69,04,02,2015,2,06,023,6,,500,11,1,913,55,2,,,,01,2016,1,0210000,1,1,100,,,,,,,,,2,,2,,000485.5569,
01,0097,3,21127,00214,28,82,03,1,43,03,12,2014,1,65,023,6,,500,88,1,421,33,2,,,,88,8888,1,0027600,1,1,100,,,,,,,,,2,,2,,000485.5569,
01,0098,3,21205,00219,28,02,08,2,26,01,06,2014,1,06,921,1,1,213,24,1,913,15,2,,,,06,2016,1,0060000,5,1,050,2,050,,,,,,,2,,2,,000541.6440,1
01,0099,3,21205,00219,28,03,03,2,33,01,04,2014,1,04,921,1,1,234,24,1,913,17,2,,,,04,2016,1,0060000,5,1,080,2,020,,,,,,,2,,2,,000541.6440,1
01,0100,1,22202,00222,26,02,02,2,50,04,08,2014,2,56,021,1,1,234,24,1,522,59,2,,,,08,2016,1,0024000,1,1,050,,,3,050,,,,,2,,2,,000396.2670,1
