REGN,PROV,URB,HHCN,REL,SEX,AGE,TMSLEFT,DTLEFTMONTH,DTLEFTYEAR,MSTAT,HGRADE,USOCC,REASON,CTRY,STAY,RET,DTRETMON,DTRETYR,WORK1,OCUP1,DTEXPMON,DTEXPYR,WORK2,OCUP2,NOMONTH,CASHREM,CASHAMT,MODE,CASHHOME,INKIND,KINDAMT,SWGT
13,74,1,1063,1,1,35,1,11,94,2,6,854,1,81,24,2,,,,,10,96,1,859,11,1,36000,4,,1,2000,0.4658
13,74,1,1069,1,1,32,1,2,94,2,6,791,1,80,12,1,1,95,1,382,,,,,10,2,,,,1,20800,0.4658
13,74,1,1080,1,1,45,4,2,95,2,4,859,1,81,12,2,,,,,4,96,1,859,8,1,90000,1,,2,,0.4658
13,74,1,1123,1,1,57,2,5,94,2,4,779,1,33,24,2,,,,,5,96,1,531,17,1,15000,1,,2,,0.4658
13,74,1,1027,6,1,34,5,1,95,2,5,852,1,81,12,2,,,,,1,96,1,852,9,1,48000,4,,2,,0.4658
13,74,1,1027,6,2,35,3,1,95,2,5,Z90,4,81,12,2,,,,,1,96,2,,,2,,,,2,,0.4658
13,74,1,1030,2,1,38,2,3,94,2,4,872,1,81,24,2,,,,,2,96,1,872,19,1,30000,4,,2,,0.4658
13,74,1,1033,2,1,36,3,9,94,2,3,951,1,81,24,2,,,,,8,96,1,951,13,1,36000,1,,2,,0.4658
13,74,1,1148,2,1,45,5,6,95,2,3,Z90,1,81,24,2,,,,,3,96,1,834,4,1,20000,3,,1,8500,0.4658
13,74,1,1150,3,2,23,1,7,95,1,4,Z90,1,63,12,2,,,,,7,96,1,549,3,2,,,,2,,0.4658
13,74,1,1167,1,1,36,1,5,95,2,4,859,1,94,24,2,,,,,5,96,1,859,5,1,27000,4,,2,,0.4658
13,74,1,986,1,1,34,1,6,92,2,2,954,1,81,24,1,6,94,1,954,,,,,39,2,,,,2,,0.4658
13,74,1,990,2,2,67,1,10,90,2,2,Z20,6,96,88,2,,,,,88,88,2,,,2,,,,2,,0.4658
13,74,1,993,2,1,45,3,5,95,2,5,846,1,81,24,2,,,,,12,96,1,846,5,1,12000,4,,2,,0.4658
13,74,1,994,3,1,24,1,6,94,1,5,891,1,81,24,2,,,,,5,96,1,834,16,1,15000,4,,2,,0.4658
13,74,1,1001,2,2,28,2,3,95,2,5,Z90,1,39,24,2,,,,,2,96,1,541,6,1,34000,1,,1,2765,0.4658
13,74,1,1009,2,1,32,1,1,92,2,5,362,6,96,88,2,,,,,88,88,1,362,44,1,49000,4,,1,39500,0.4658
13,74,1,1111,3,1,28,3,2,94,1,6,Z90,1,95,12,1,5,95,1,982,,,,,12,2,,,100000,2,,0.4658
13,74,1,1054,1,1,48,2,6,95,2,5,851,1,81,6,2,,,,,12,95,1,851,4,2,,,,2,,0.4658
13,74,1,1089,2,1,42,2,8,94,2,5,532,1,81,48,2,,,,,1,96,1,532,14,1,78000,4,,2,,0.4658
13,74,1,1098,2,1,40,2,4,95,2,5,872,1,81,24,2,,,,,4,97,1,872,6,1,40000,1,,2,,0.4658
13,74,1,1529,2,1,33,2,5,92,2,5,Z90,1,81,24,1,5,94,1,959,,,,,11,1,30000,4,,2,,0.3745
13,74,1,1535,2,2,47,2,6,92,2,5,794,1,81,24,1,10,94,1,794,,,,,29,1,15000,4,,1,8000,0.3745
13,74,1,1576,3,1,29,4,9,94,5,5,Z10,1,96,8,1,9,95,1,532,,,,,12,1,58000,4,,2,,0.3745
13,74,1,1587,3,2,30,1,8,93,4,4,794,1,82,24,2,,,,,88,88,1,541,25,2,,,,2,,0.3745
13,74,1,1234,2,2,24,4,9,94,2,6,66,1,56,13,2,,,,,88,88,1,66,10,1,8100,1,,2,,0.3745
13,74,1,1238,2,1,62,2,4,94,4,4,Z90,8,96,9,1,9,95,2,,,,,,,2,,,,2,,0.3745
13,74,1,1563,3,1,34,4,7,95,1,4,Z10,1,81,10,2,,,,,5,96,1,848,3,2,,,,2,,0.3745
13,74,1,1217,3,2,26,1,5,93,1,5,Z10,1,83,24,2,,,,,88,88,1,541,29,1,15000,1,,2,,0.3745
13,74,1,1219,1,1,44,3,7,95,2,6,531,1,56,12,2,,,,,9,96,1,531,3,1,7000,1,,2,,0.3745
13,74,1,1220,2,2,45,3,8,95,2,4,Z10,1,39,12,2,,,,,8,96,1,541,2,1,3000,1,,1,8500,0.3745
13,74,1,1221,6,1,30,1,12,90,1,3,985,1,52,50,1,3,93,1,532,,,,,14,1,30000,3,,2,,0.3745
13,74,1,1226,3,1,43,2,5,95,2,6,582,1,18,24,2,,,,,6,97,1,589,28,1,31000,4,,1,24300,0.3745
13,74,1,1226,4,2,43,2,5,95,2,6,Z10,1,18,24,2,,,,,6,97,1,589,5,1,10000,4,,2,,0.3745
13,74,1,2012,2,1,56,2,6,95,2,4,949,1,81,24,2,,,,,6,97,1,999,4,1,15000,4,,2,,0.3745
13,74,1,1977,2,2,33,2,5,95,2,5,541,1,39,88,2,,,,,88,88,1,541,5,1,20000,1,,2,,0.3745
13,74,1,1986,4,2,30,1,5,95,2,5,999,1,39,88,2,,,,,88,88,1,541,5,2,,,,2,,0.3745
13,74,1,1615,3,2,19,4,4,94,1,3,172,1,52,6,1,10,94,1,172,,,,,6,2,,,,2,,0.3745
13,74,1,1618,1,1,44,2,2,93,2,5,939,1,82,12,2,,,,,2,96,1,939,32,1,24000,4,,2,,0.3745
13,74,1,1363,1,1,38,1,7,92,2,3,954,3,81,23,1,6,94,1,954,,,,,22,1,5000,4,,1,12190,0.3745
13,74,1,1395,1,1,33,3,1,95,2,5,981,1,39,9,1,9,95,1,959,,,,,24,1,60000,1,30000,2,,0.3745
13,74,1,1991,2,1,26,1,9,95,2,6,844,1,999,12,2,,,,,88,88,1,844,1,2,,,,2,,0.3745
13,74,1,1965,6,1,40,1,1,95,3,6,846,1,81,24,2,,,,,3,97,1,846,8,1,36000,1,,2,,0.3745
13,74,1,1974,1,1,45,2,12,94,4,6,362,3,51,8,2,,,,,88,88,1,219,12,1,64998,1,,1,15000,0.3745
13,74,1,1312,2,1,37,2,10,92,2,3,552,1,94,24,2,,,,,88,88,1,552,36,1,30000,4,,2,,0.3745
13,74,1,1322,2,2,31,1,4,93,2,6,541,1,82,88,2,,,,,12,95,1,541,30,2,,,,2,,0.3745
13,74,1,1946,1,2,65,7,7,95,3,6,Z20,4,96,88,2,,,,,88,88,1,541,3,2,,,,2,,0.3745
13,74,1,1960,3,2,34,1,9,95,1,6,387,5,52,0,2,,,,,88,88,2,,,2,,,,2,,0.3745
13,74,1,1700,1,1,25,1,9,95,2,4,857,1,81,12,2,,,,,9,96,1,981,2,2,,,,2,,0.3745
13,74,1,1706,2,1,39,3,12,94,2,5,Z10,1,81,24,2,,,,,88,88,1,999,11,1,24000,4,,2,,0.3745
