RREG,HHNUM,RRPL,RPSU,RQ1_LNO,RQ2_REL,RQ3_SEX,RQ4_AGE,RQ5_TMSLEFT,RQ6M_DTLEFT,RQ6Y_DTLEFT,RQ7_MSTAT,RQ8_HGRADE,RQ9_USOCC,RQ10_REASON,RQ11_CTRY,RQ12_STAY,RQ13_INDWORK,RQ14_OCCUP1,RQ15_NOMONTH,RQ16_RET,RQ17M_DTRET,RQ17Y_DTRET,RQ18M_DTEXP,RQ18Y_DTEXP,RQ19_CASHREM,RQ20_CASHAMT,RQ21_MODE,RQ221C_CONSUM,RQ221P_CONSUM,RQ222C_INVEST,RQ222P_INVEST,RQ223C_SAVINGS,RQ223P_SAVINGS,RQ224C_OTHERS,RQ224P_OTHERS,RQ23_RET6MOS,RQ24_CASHHOME,RQ25_INKIND,RQ26_KINDAMT,RSWGT,RP6M_IND
01,0098,002,00352,05,08,1,47,05,08,2010,2,05,023,1,222,12,1,723,45,2,,,08,2011,1,0090300,1,1,050,,,3,050,,,1,0043000,2,,000382.4545,1
01,0099,002,00352,02,03,2,34,03,04,2009,1,65,513,1,222,24,1,223,42,2,,,04,2011,1,0009000,1,1,080,,,3,020,,,2,,1,0008500,000537.9219,1
01,0100,002,00352,06,04,1,36,02,07,2010,2,65,513,6,500,48,1,223,58,2,,,07,2014,1,0008000,1,1,100,,,,,,,2,,1,0020000,000430.9883,
01,0100,002,00352,07,04,1,33,03,02,2010,2,65,413,1,232,25,1,215,58,2,,,03,2012,1,0025000,1,1,100,,,,,,,2,,2,,000521.1589,1
01,0101,002,00371,02,02,2,30,02,03,2009,2,05,741,1,231,16,1,913,42,1,07,2010,,,1,0018000,5,1,100,,,,,,,1,0000000,2,,000539.5532,1
01,0102,004,00389,01,01,1,46,01,05,2007,2,04,931,1,221,43,1,931,40,2,,,12,2010,1,0012000,4,1,100,,,,,,,2,,2,,000403.8046,1
01,0103,004,00389,03,05,1,30,04,02,2010,2,05,023,1,400,10,1,834,34,2,,,12,2010,1,0060000,1,,,,,3,100,,,2,,2,,000550.2519,1
01,0104,001,00399,09,05,2,32,01,03,2009,2,64,241,1,213,24,1,827,18,2,,,03,2011,1,0014000,1,1,100,,,,,,,2,,2,,000537.5141,1
01,0105,001,00399,01,01,1,40,01,08,2006,2,04,723,1,233,47,1,723,47,1,07,2010,,,1,0060000,5,1,100,,,,,,,1,0020000,1,0029800,000430.6615,1
01,0106,001,00399,04,03,2,34,01,01,2009,2,04,021,1,231,38,1,913,20,2,,,03,2012,1,0018000,5,1,100,,,,,,,2,,2,,000537.5141,1
01,0107,004,00422,02,03,2,43,02,02,2009,1,05,913,1,233,36,1,913,48,2,,,02,2012,1,0030000,5,1,100,,,,,,,2,,2,,000469.5884,1
01,0107,004,00422,03,03,2,28,01,11,2008,1,61,023,1,232,26,1,330,22,2,,,01,2011,1,0041000,5,1,100,,,,,,,2,,2,,000597.2378,1
01,0108,004,00422,01,01,1,44,05,08,2010,2,05,023,1,233,12,1,149,33,2,,,08,2011,1,0087000,2,1,070,,,3,030,,,2,,2,,000478.5128,1
01,0109,001,00423,04,08,2,47,03,04,2010,1,04,743,1,222,24,1,913,60,2,,,04,2012,2,,,,,,,,,,,2,,1,0003000,000416.0327,1
01,0110,001,00423,02,02,2,42,03,08,2009,2,04,021,1,211,24,1,913,56,2,,,08,2011,1,0055000,1,1,100,,,,,,,2,,2,,000464.0047,1
01,0111,001,00423,02,02,2,31,01,03,2008,2,03,911,1,222,24,1,913,24,1,03,2010,,,2,,,,,,,,,,,2,,2,,000590.1363,2
01,0112,001,00423,02,02,2,27,02,08,2010,2,04,911,1,211,01,1,913,26,1,09,2010,,,1,0010000,5,1,025,2,075,,,,,1,0030000,1,0000250,000590.1363,1
01,0113,001,00423,04,03,1,28,02,09,2009,2,68,921,1,400,09,1,714,18,1,06,2010,,,1,0032000,1,1,010,2,060,3,030,,,1,0030000,1,0003500,000571.7461,1
01,0114,001,00417,02,02,2,43,02,03,2009,2,04,021,1,231,27,1,913,54,2,,,06,2011,1,0039000,5,1,100,,,,,,,2,,2,,000419.4229,1
01,0115,001,00424,02,02,2,53,02,06,2007,2,61,234,1,500,60,1,913,45,2,,,06,2012,1,0010600,5,1,100,,,,,,,2,,2,,000402.3576,1
01,0116,001,00419,01,01,1,52,01,08,2006,2,04,131,1,400,53,1,513,49,2,,,01,2011,1,0033000,4,1,050,,,3,050,,,2,,1,0005500,000382.7445,1
01,0117,001,00419,03,03,2,36,02,08,2009,2,04,021,1,231,24,1,913,57,2,,,08,2011,1,0048000,5,1,080,,,3,020,,,2,,2,,000423.2709,1
01,0118,001,00419,81,03,2,39,01,04,2007,1,04,512,1,222,24,1,913,24,1,04,2009,,,2,,,,,,,,,,,2,,2,,000407.5170,2
01,0119,001,00437,02,02,2,51,02,03,2009,2,05,021,1,211,24,1,913,59,2,,,03,2011,1,0024000,1,1,100,,,,,,,2,,2,,000377.4977,1
01,0120,001,00437,01,01,1,41,02,09,2010,2,04,832,1,233,23,1,832,54,2,,,08,2012,1,0007000,1,1,100,,,,,,,1,0021400,2,,000429.0278,1
